Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Description,Order,Industry Logo,Title
Real Estate-Miami,real-estate,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a04c4b8ebb1f3b0acd5ef45,false,true,Wed May 13 2026 18:36:40 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 12:09:41 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 10:14:24 GMT+0000 (Coordinated Universal Time),"Miami's real estate market moves fast. We've built property search apps, agent tools, and transaction platforms that help real estate professionals close deals faster and give buyers a better experience.",3,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf53f08c1d0c09904945_retail.webp,Real Estate
SaaS & Startups,saas-startups,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05d2fb7d6dd07cde726a07,false,false,Thu May 14 2026 13:49:47 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:02:44 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),We help early-stage companies and growing startups build MVPs through mobile app and web development that attract funding and scale to product-market fit. Our lean process gets you to market fast without sacrificing code quality.,6,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05d8442565fb1789d350fd_startup.webp,SaaS & Startups
AI & Machine Learning-San Francisco,ai-machine-learning,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05d2fb7d6dd07cde726a09,false,true,Thu May 14 2026 13:49:47 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 12:09:30 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"San Francisco leads the world in AI. We integrate machine learning models into mobile app development projects and web apps, building AI-powered features like natural language search, image recognition, and predictive analytics.",7,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05d838ff77f529998bc309_ai.webp,AI & Machine Learning
Enterprise Software,enterprise-software,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05d2fb7d6dd07cde726a0b,false,false,Thu May 14 2026 13:49:47 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 16:21:26 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"For larger enterprise organizations in the Financial District and across the Bay Area, we modernize legacy systems into modern, scalable web development platforms and mobile apps that employees and customers actually want to use.",8,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05d8301fcf96635f25fa76_enterprise.webp,Enterprise Software
Fintech & Banking,fintech-banking,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05d8ae9c8159e7bc889908,false,false,Thu May 14 2026 14:14:06 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:06:16 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"We build secure mobile and web applications for fintech startups and established financial institutions, with deep experience in PCI DSS and SOC 2 compliance. From mobile banking interfaces to trading dashboards, our fintech development is built for regulatory scrutiny.",9,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf68f687efe2bc3fe0b2_fintech.webp,Fintech & Banking
Healthcare & Telehealth,healthcare-telehealth,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05d8ae9c8159e7bc88990a,false,false,Thu May 14 2026 14:14:06 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:02:43 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"We develop HIPAA-compliant healthcare applications including telehealth platforms, patient portals, and EHR integrations. Our healthcare clients need reliable, secure digital tools that patients and providers can trust, and we build with those standards from day one.",10,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf61a73add9bf609f8da_health.webp,Healthcare & Telehealth
Retail & E-commerce,retail-ecommerce,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05d8ae9c8159e7bc88990c,false,false,Thu May 14 2026 14:14:06 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:02:44 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"We build mobile commerce apps and e-commerce platforms with custom integrations, checkout optimization, and inventory management. Whether you operate storefronts or sell exclusively online, we build for conversion and scale.",11,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf480ff9da21767e4cdf_ecommerce.webp,Retail & E-commerce
Real Estate & PropTech,real-estate-proptech,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05d8ae9c8159e7bc889910,false,false,Thu May 14 2026 14:14:06 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:06:16 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"We build property search apps, virtual tour platforms, and tenant management portals for one of the most competitive real estate markets in the country. Your technology needs to move as fast as the market does.",13,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf53f08c1d0c09904945_retail.webp,Real Estate & PropTech
On-Demand & Logistics,on-demand-logistics,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05d8ae9c8159e7bc889912,false,false,Thu May 14 2026 14:14:06 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:02:43 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"From delivery services to fleet management, we build on-demand booking apps and logistics platforms tailored to the operational complexity of businesses serving large, distributed customer bases.",14,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05da8b0c8742d51f6b6e57_logistics.webp,On-Demand & Logistics
Oil & Gas / Energy-Dallas,oil-gas-energy,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a05de1facfa78b422d79220,false,true,Thu May 14 2026 14:37:19 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 12:08:38 GMT+0000 (Coordinated Universal Time),Thu May 14 2026 17:37:57 GMT+0000 (Coordinated Universal Time),"Dallas has long been a hub for the energy sector. We build field operations apps, asset tracking systems, and data dashboards for oil and gas companies managing distributed operations.",15,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05e0c40101809bd5b1d1e4_energy.webp,Oil & Gas / Energy
